week_start,trend_index_raw
2022-12-04,9.5
2022-12-11,10.25
2022-12-18,10.5
2022-12-25,11.75
2023-01-01,9.25
2023-01-08,13.0
2023-01-15,14.25
2023-01-22,11.25
2023-01-29,34.75
2023-02-05,12.75
2023-02-12,11.75
2023-02-19,13.5
2023-02-26,13.0
2023-03-05,11.0
2023-03-12,12.0
2023-03-19,12.75
2023-03-26,13.75
2023-04-02,14.75
2023-04-09,12.75
2023-04-16,14.0
2023-04-23,15.5
2023-04-30,13.5
2023-05-07,14.0
2023-05-14,14.25
2023-05-21,14.25
2023-05-28,13.5
2023-06-04,12.75
2023-06-11,12.75
2023-06-18,13.5
2023-06-25,15.0
2023-07-02,13.25
2023-07-09,14.0
2023-07-16,12.25
2023-07-23,13.0
2023-07-30,13.25
2023-08-06,11.25
2023-08-13,12.0
2023-08-20,12.0
2023-08-27,10.75
2023-09-03,11.75
2023-09-10,9.25
2023-09-17,8.75
2023-09-24,9.0
2023-10-01,9.25
2023-10-08,9.75
2023-10-15,8.75
2023-10-22,7.75
2023-10-29,8.25
2023-11-05,7.75
2023-11-12,8.0
2023-11-19,8.25
2023-11-26,8.5
2023-12-03,9.0
2023-12-10,8.25
2023-12-17,9.75
2023-12-24,11.25
2023-12-31,9.0
2024-01-07,8.25
2024-01-14,10.0
2024-01-21,10.5
2024-01-28,8.5
2024-02-04,8.75
2024-02-11,10.0
2024-02-18,11.25
2024-02-25,8.75
2024-03-03,11.25
2024-03-10,9.25
2024-03-17,11.0
2024-03-24,12.25
2024-03-31,10.5
2024-04-07,9.5
2024-04-14,9.75
2024-04-21,11.5
2024-04-28,10.75
2024-05-05,11.75
2024-05-12,9.75
2024-05-19,9.75
2024-05-26,9.5
2024-06-02,9.5
2024-06-09,11.0
2024-06-16,10.25
2024-06-23,10.25
2024-06-30,10.25
2024-07-07,8.5
2024-07-14,9.25
2024-07-21,9.5
2024-07-28,10.0
2024-08-04,9.75
2024-08-11,10.25
2024-08-18,9.5
2024-08-25,9.25
2024-09-01,9.5
2024-09-08,7.75
2024-09-15,8.0
2024-09-22,8.25
2024-09-29,9.5
2024-10-06,7.5
2024-10-13,11.0
2024-10-20,7.75
2024-10-27,7.5
2024-11-03,7.25
2024-11-10,7.75
2024-11-17,9.25
2024-11-24,7.5
2024-12-01,5.25
2024-12-08,6.75
2024-12-15,6.25
2024-12-22,8.0
2024-12-29,8.5
2025-01-05,7.5
2025-01-12,8.25
2025-01-19,8.25
2025-01-26,8.0
2025-02-02,7.25
2025-02-09,7.25
2025-02-16,8.0
2025-02-23,8.75
2025-03-02,9.5
2025-03-09,10.25
2025-03-16,9.0
2025-03-23,10.5
2025-03-30,11.5
2025-04-06,9.5
2025-04-13,9.0
2025-04-20,10.0
2025-04-27,10.25
2025-05-04,10.75
2025-05-11,7.5
2025-05-18,10.5
2025-05-25,8.5
2025-06-01,9.5
2025-06-08,8.75
2025-06-15,11.25
2025-06-22,8.75
2025-06-29,10.0
2025-07-06,10.0
2025-07-13,10.75
2025-07-20,9.5
2025-07-27,10.5
2025-08-03,9.0
2025-08-10,8.5
2025-08-17,9.25
2025-08-24,9.5
2025-08-31,9.75
2025-09-07,5.75
2025-09-14,8.25
2025-09-21,7.75
2025-09-28,8.0
2025-10-05,8.0
2025-10-12,5.75
2025-10-19,7.5
2025-10-26,8.75
2025-11-02,7.75
2025-11-09,7.5
2025-11-16,7.5
2025-11-23,10.5
2025-11-30,8.25
2025-12-07,7.5
2025-12-14,8.25
2025-12-21,8.5
2025-12-28,10.5
2026-01-04,9.25
2026-01-11,9.0
2026-01-18,9.25
2026-01-25,8.0
2026-02-01,9.5
2026-02-08,7.0
2026-02-15,8.75
